Kanji;Definition;Pronounciation;Grade
亜;sub-, Asia;ア;S
哀;pathetic;アイ、あわ-れ、あわ-れむ;S
挨;push open;アイ;S
愛;love;アイ;4
曖;not clear;アイ;S
悪;bad;アク、オ、わる-い;3
握;grip;アク、にぎ-る;S
圧;pressure;アツ;5
扱;handle;あつか-う;S
宛;allocate;あ-てる;S
嵐;storm;あらし;S
安;cheap;アン、やす-い;3
案;plan;アン;4
暗;dark;アン、くら-い;3
以;by means of;イ;4
衣;clothes;イ、ころも;4
位;rank;イ、くらい;4
囲;surround;イ、かこ-む、かこ-う;5
医;doctor;イ;3
依;reliant;イ、（エ）;S
委;committee;イ、ゆだ-ねる;3
威;intimidate;イ;S
為;do;イ;S
畏;fear;イ、おそ-れる;S
胃;stomach;イ;6
尉;military officer;イ;S
異;uncommon;イ、こと;6
移;shift;イ、うつ-る、うつ-す;5
萎;wither;イ、な-える;S
偉;admirable;イ、えら-い;S
椅;chair;イ;S
彙;same kind;イ;S
意;idea;イ;3
違;differ;イ、ちが-う、ちが-える;S
維;fiber;イ;S
慰;consolation;イ、なぐさ-める、なぐさ-む;S
遺;bequeath;イ、（ユイ）;6
緯;horizontal;イ;S
域;range;イキ;6
育;nurture;イク、そだ-つ、そだ-てる、はぐく-む;3
一;one;イチ、イツ、ひと、ひと-つ;1
壱;one (falsification prevention);イチ;S
逸;deviate;イツ;S
茨;thorn;（いばら）;4
芋;potato;いも;S
引;pull;イン、ひ-く、ひ-ける;2
印;mark;イン、しるし;4
因;cause;イン、よ-る;5
咽;throat;イン;S
姻;matrimony;イン;S
員;member;イン;3
院;institution;イン;3
淫;lewdness;イン、みだ-ら;S
陰;shade;イン、かげ、かげ-る;S
飲;drink;イン、の-む;3
隠;conceal;イン、かく-す、かく-れる;S
韻;rhyme;イン;S
右;right (direction);ウ、ユウ、みぎ;1
宇;eaves;ウ;6
羽;feather;ウ、は、はね;2
雨;rain;ウ、あめ、（あま）;1
唄;songs with samisen;（うた）;S
鬱;gloom;ウツ;S
畝;furrow;うね;S
浦;bay;うら;S
運;carry;ウン、はこ-ぶ;3
雲;cloud;ウン、くも;2
永;eternity;エイ、なが-い;5
泳;swim;エイ、およ-ぐ;3
英;England;エイ;4
映;reflect;エイ、うつ-る、うつ-す、は-える;6
栄;prosperity;エイ、さか-える、は-え、は-える;4
営;manage;エイ、いとな-む;5
詠;recitation;エイ、よ-む;S
影;shadow;エイ、かげ;S
鋭;pointed;エイ、するど-い;S
衛;defense;エイ;5
易;easy;エキ、イ、やさ-しい;5
疫;epidemic;エキ、（ヤク）;S
益;benefit;エキ、（ヤク）;5
液;fluid;エキ;5
駅;station;エキ;3
悦;ecstasy;エツ;S
越;cross over;エツ、こ-す、こ-える;S
謁;audience;エツ;S
閲;review;エツ;S
円;round, yen;エン、まる-い;1
延;prolong;エン、の-びる、の-べる、の-ばす;6
沿;run alongside;エン、そ-う;6
炎;inflammation;エン、ほのお;S
怨;grudge;エン、オン;S
宴;banquet;エン;S
媛;princess;エン;4
援;aid;エン;S
園;garden;エン、その;2
煙;smoke;エン、けむ-る、けむり、けむ-い;S
猿;monkey;エン、さる;S
遠;far;エン、（オン）、とお-い;2
鉛;lead;エン、なまり;S
塩;salt;エン、しお;4
演;perform;エン;5
縁;affinity;エン、ふち;S
艶;glossy;エン、つや;S
汚;dirty;オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い;S
王;king;オウ;1
凹;concave;オウ;S
央;center;オウ;3
応;respond;オウ、こた-える;5
往;outward journey;オウ;5
押;pushed;オウ、お-す、お-さえる;S
旺;flourishing;オウ;S
欧;Europe;オウ;S
殴;assault;オウ、なぐ-る;S
桜;cherry tree;オウ、さくら;5
翁;venerable old man;オウ;S
奥;heart;オウ、おく;S
横;side;オウ、よこ;3
岡;hill;（おか）;4
屋;roof;オク、や;3
億;hundred million;オク;4
憶;recollection;オク;S
臆;timidity;オク;S
虞;uneasiness;おそれ;S
乙;the latter;オツ;S
俺;I, we, myself;おれ;S
卸;wholesale;おろ-す、おろし;S
音;sound;オン、イン、おと、ね;1
恩;grace;オン;6
温;warm;オン、あたた-か、あたた-かい、あたた-まる、あたた-める;3
穏;calm;オン、おだ-やか;S
下;below;カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる;1
化;change;カ、ケ、ば-ける、ば-かす;3
火;fire;カ、ひ、（ほ）;1
加;add;カ、くわ-える、くわ-わる;4
可;possible;カ;5
仮;temporary;カ、（ケ）、かり;5
何;what;カ、なに、（なん）;2
花;flower;カ、はな;1
佳;excellent;カ;S
価;value;カ、あたい;5
果;fruit;カ、は-たす、は-てる、は-て;4
河;river;カ、かわ;5
苛;torment;カ;S
科;section;カ;2
架;rack;カ、か-ける、か-かる;S
夏;summer;カ、（ゲ）、なつ;2
家;house;カ、ケ、いえ、や;2
荷;luggage;カ、に;3
華;splendor;カ、（ケ）、はな;S
菓;confectionery;カ;S
貨;freight;カ;4
渦;whirlpool;カ、うず;S
過;go beyond;カ、す-ぎる、す-ごす、あやま-つ、あやま-ち;5
嫁;marry into;カ、よめ、とつ-ぐ;S
暇;spare time;カ、ひま;S
禍;calamity;カ;S
靴;shoes;カ、くつ;S
寡;widow;カ;S
歌;song;カ、うた、うた-う;2
箇;counters for things;カ;S
稼;earnings;カ、かせ-ぐ;S
課;section;カ;4
蚊;mosquito;か;S
牙;tusk;ガ、（ゲ）、きば;S
瓦;tile;ガ、かわら;S
我;ego, I, we;ガ、われ、わ;6
画;tableau;ガ、カク;2
芽;bud;ガ、め;4
賀;congratulations;ガ;4
雅;gracious;ガ;S
餓;starve;ガ;S
介;jammed in;カイ;S
回;times;カイ、（エ）、まわ-る、まわ-す;2
灰;ashes;カイ、はい;6
会;association;カイ、エ、あ-う;2
快;cheerful;カイ、こころよ-い;5
戒;commandment;カイ、いまし-める;S
改;reformation;カイ、あらた-める、あらた-まる;4
怪;suspicious;カイ、あや-しい、あや-しむ;S
拐;kidnap;カイ;S
悔;repent;カイ、く-いる、く-やむ、くや-しい;S
海;sea;カイ、うみ;2
界;world;カイ;3
皆;all;カイ、みな;S
械;contraption;カイ;4
絵;picture;カイ、エ;2
開;open;カイ、ひら-く、ひら-ける、あ-く、あ-ける;3
階;floor of a building;カイ;3
塊;clod;カイ、かたまり;S
楷;square character style;カイ;S
解;untie;カイ、ゲ、と-く、と-かす、と-ける;5
潰;crush;カイ、つぶ-す、つぶ-れる;S
壊;demolition;カイ、こわ-す、こわ-れる;S
懐;pocket;カイ、ふところ、なつ-かしい、なつ-かしむ、なつ-く、なつ-ける;S
諧;harmony;カイ;S
貝;shellfish;かい;1
外;outside;ガイ、ゲ、そと、ほか、はず-す、はず-れる;2
劾;censure;ガイ;S
害;harm;ガイ;4
崖;cliff;ガイ、がけ;S
涯;horizon;ガイ;S
街;street;ガイ、（カイ）、まち;4
慨;rue;ガイ;S
蓋;cover;ガイ、ふた;S
該;above-stated;ガイ;S
概;outline;ガイ;S
骸;dead remains;ガイ;S
垣;hedge;かき;S
柿;persimmon;かき;S
各;each;カク、おのおの;4
角;angle;カク、かど、つの;2
拡;broaden;カク;6
革;leather;カク、かわ;6
格;status;カク、（コウ）;5
核;nucleus;カク;S
殻;husk;カク、から;S
郭;enclosure;カク;S
覚;memorize;カク、おぼ-える、さ-ます、さ-める;4
較;contrast;カク;S
隔;isolate;カク、へだ-てる、へだ-たる;S
閣;tall;カク;6
確;certain;カク、たし-か、たし-かめる;5
獲;seize;カク、え-る;S
嚇;menacing;カク;S
穫;harvest;カク;S
学;study;ガク、まな-ぶ;1
岳;point;ガク、たけ;S
楽;pleasure;ガク、ラク、たの-しい、たの-しむ;2
額;amount;ガク、ひたい;5
顎;jaw;ガク、あご;S
掛;hang;か-ける、か-かる、かかり;S
潟;lagoon;かた;4
括;fasten;カツ;S
活;active;カツ;2
喝;hoarse;カツ;S
渇;thirst;カツ、かわ-く;S
割;divide;カツ、わ-る、わり、わ-れる、さ-く;6
葛;arrowroot;カツ、くず;S
滑;slippery;カツ、コツ、すべ-る、なめ-らか;S
褐;brown;カツ;S
轄;control;カツ;S
且;moreover;か-つ;S
株;stocks;かぶ;6
釜;kettle;かま;S
鎌;sickle;かま;S
刈;reap;か-る;S
干;dry;カン、ほ-す、ひ-る;6
刊;publish;カン;5
甘;sweet;カン、あま-い、あま-える、あま-やかす;S
汗;sweat;カン、あせ;S
缶;tin can;カン;S
完;perfect;カン;4
肝;liver;カン、きも;S
官;government official;カン;4
冠;crown;カン、かんむり;S
巻;scroll;カン、ま-く、まき;6
看;watch over;カン;6
陥;collapse;カン、おちい-る、おとしい-れる;S
乾;dry;カン、かわ-く、かわ-かす;S
勘;intuition;カン;S
患;afflicted;カン、わずら-う;S
貫;pierce;カン、つらぬ-く;S
寒;cold;カン、さむ-い;3
喚;yell;カン;S
堪;withstand;カン、た-える;S
換;interchange;カン、か-える、か-わる;S
敢;daring;カン;S
棺;coffin;カン;S
款;goodwill;カン;S
間;interval;カン、ケン、あいだ、ま;2
閑;leisure;カン;S
勧;persuade;カン、すす-める;S
寛;tolerant;カン;S
幹;tree-trunk;カン、みき;5
感;feeling;カン;3
漢;China;カン;3
慣;accustomed;カン、な-れる、な-らす;5
管;pipe;カン、くだ;4
関;related;カン、せき、かか-わる;4
歓;delight;カン;S
監;oversee;カン;S
緩;slacken;カン、ゆる-い、ゆる-やか、ゆる-む、ゆる-める;S
憾;remorse;カン;S
還;send back;カン;S
館;public building;カン、やかた;3
環;ring;カン;S
簡;simplicity;カン;6
観;observe;カン;4
韓;Korea;カン;S
艦;warship;カン;S
鑑;specimen;カン、かんが-みる;S
丸;circle;ガン、まる、まる-い、まる-める;2
含;include;ガン、ふく-む、ふく-める;S
岸;beach;ガン、きし;3
岩;boulder;ガン、いわ;2
玩;trifle with;ガン;S
眼;eyeball;ガン、（ゲン）、まなこ;5
頑;stubborn;ガン;S
顔;face;ガン、かお;2
願;request;ガン、ねが-う;4
企;plan;キ、くわだ-てる;S
伎;deed;キ;S
危;dangerous;キ、あぶ-ない、あや-うい、あや-ぶむ;6
机;desk;キ、つくえ;6
気;feeling;キ、ケ;1
岐;branch off;キ;4
希;hope;キ;4
忌;mourning;キ、い-む、い-まわしい;S
汽;steam;キ;2
奇;strange;キ;S
祈;pray;キ、いの-る;S
季;seasons;キ;4
紀;chronicle;キ;5
軌;rut;キ;S
既;previously;キ、すで-に;S
記;write down;キ、しる-す;2
起;wake up;キ、お-きる、お-こる、お-こす;3
飢;hungry;キ、う-える;S
鬼;ghost;キ、おに;S
帰;return;キ、かえ-る、かえ-す;2
基;foundation;キ、もと、もとい;5
寄;approach;キ、よ-る、よ-せる;5
規;rule;キ;5
亀;turtle;キ、かめ;S
喜;rejoice;キ、よろこ-ぶ;5
幾;how many;キ、いく;S
揮;brandish;キ;6
期;period of time;キ、（ゴ）;3
棋;chess piece;キ;S
貴;precious;キ、たっと-い、とうと-い、たっと-ぶ、とうと-ぶ;6
棄;abandon;キ;S
毀;destroy;キ;S
旗;national flag;キ、はた;4
器;container;キ、うつわ;4
畿;capital;キ;S
輝;radiance;キ、かがや-く;S
機;machine;キ、はた;4
騎;equestrian;キ;S
